Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,Strikerate,WireCat,ISIN,Fullname,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
N,D,57656,NIFTY 27 Oct 2022 PE 19400.00,XX,27-10-2022 14:30,PE,19400, ,NIFTY,NIFTY 27 Oct 2022 PE 19400.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57657,NIFTY 27 Oct 2022 CE 19450.00,XX,27-10-2022 14:30,CE,19450, ,NIFTY,NIFTY 27 Oct 2022 CE 19450.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57658,NIFTY 27 Oct 2022 PE 19450.00,XX,27-10-2022 14:30,PE,19450, ,NIFTY,NIFTY 27 Oct 2022 PE 19450.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57659,NIFTY 27 Oct 2022 CE 19500.00,XX,27-10-2022 14:30,CE,19500, ,NIFTY,NIFTY 27 Oct 2022 CE 19500.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57660,NIFTY 27 Oct 2022 PE 19500.00,XX,27-10-2022 14:30,PE,19500, ,NIFTY,NIFTY 27 Oct 2022 PE 19500.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57661,NIFTY 27 Oct 2022 CE 19550.00,XX,27-10-2022 14:30,CE,19550, ,NIFTY,NIFTY 27 Oct 2022 CE 19550.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57662,NIFTY 27 Oct 2022 PE 19550.00,XX,27-10-2022 14:30,PE,19550, ,NIFTY,NIFTY 27 Oct 2022 PE 19550.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57663,NIFTY 27 Oct 2022 CE 19600.00,XX,27-10-2022 14:30,CE,19600, ,NIFTY,NIFTY 27 Oct 2022 CE 19600.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57664,NIFTY 27 Oct 2022 PE 19600.00,XX,27-10-2022 14:30,PE,19600, ,NIFTY,NIFTY 27 Oct 2022 PE 19600.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57665,NIFTY 27 Oct 2022 CE 19650.00,XX,27-10-2022 14:30,CE,19650, ,NIFTY,NIFTY 27 Oct 2022 CE 19650.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57666,NIFTY 27 Oct 2022 PE 19650.00,XX,27-10-2022 14:30,PE,19650, ,NIFTY,NIFTY 27 Oct 2022 PE 19650.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57667,NIFTY 27 Oct 2022 CE 19700.00,XX,27-10-2022 14:30,CE,19700, ,NIFTY,NIFTY 27 Oct 2022 CE 19700.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57668,NIFTY 27 Oct 2022 PE 19700.00,XX,27-10-2022 14:30,PE,19700, ,NIFTY,NIFTY 27 Oct 2022 PE 19700.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57669,NIFTY 27 Oct 2022 CE 19750.00,XX,27-10-2022 14:30,CE,19750, ,NIFTY,NIFTY 27 Oct 2022 CE 19750.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57670,NIFTY 27 Oct 2022 PE 19750.00,XX,27-10-2022 14:30,PE,19750, ,NIFTY,NIFTY 27 Oct 2022 PE 19750.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57671,NIFTY 27 Oct 2022 CE 19800.00,XX,27-10-2022 14:30,CE,19800, ,NIFTY,NIFTY 27 Oct 2022 CE 19800.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57672,NIFTY 27 Oct 2022 PE 19800.00,XX,27-10-2022 14:30,PE,19800, ,NIFTY,NIFTY 27 Oct 2022 PE 19800.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57673,NIFTY 27 Oct 2022 CE 19850.00,XX,27-10-2022 14:30,CE,19850, ,NIFTY,NIFTY 27 Oct 2022 CE 19850.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57674,NIFTY 27 Oct 2022 PE 19850.00,XX,27-10-2022 14:30,PE,19850, ,NIFTY,NIFTY 27 Oct 2022 PE 19850.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57675,NIFTY 27 Oct 2022 CE 19900.00,XX,27-10-2022 14:30,CE,19900, ,NIFTY,NIFTY 27 Oct 2022 CE 19900.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57676,NIFTY 27 Oct 2022 PE 19900.00,XX,27-10-2022 14:30,PE,19900, ,NIFTY,NIFTY 27 Oct 2022 PE 19900.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57677,NIFTY 27 Oct 2022 CE 19950.00,XX,27-10-2022 14:30,CE,19950, ,NIFTY,NIFTY 27 Oct 2022 CE 19950.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57678,NIFTY 27 Oct 2022 PE 19950.00,XX,27-10-2022 14:30,PE,19950, ,NIFTY,NIFTY 27 Oct 2022 PE 19950.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,58597,NIFTY 29 Dec 2022 CE 12000.00,XX,29-12-2022 14:30,CE,12000, ,NIFTY,NIFTY 29 Dec 2022 CE 12000.00,50,Y,2800,1,29-Dec-22,NIFTY,0.05
N,D,58598,NIFTY 29 Dec 2022 CE 22000.00,XX,29-12-2022 14:30,CE,22000, ,NIFTY,NIFTY 29 Dec 2022 CE 22000.00,50,Y,2800,1,29-Dec-22,NIFTY,0.05
N,D,58599,NIFTY 29 Dec 2022 PE 22000.00,XX,29-12-2022 14:30,PE,22000, ,NIFTY,NIFTY 29 Dec 2022 PE 22000.00,50,Y,2800,1,29-Dec-22,NIFTY,0.05
N,D,58600,NIFTY 29 Jun 2023 CE 12000.00,XX,29-06-2023 14:30,CE,12000, ,NIFTY,NIFTY 29 Jun 2023 CE 12000.00,50,Y,2800,1,29-Jun-23,NIFTY,0.05
N,D,58601,NIFTY 29 Jun 2023 PE 12000.00,XX,29-06-2023 14:30,PE,12000, ,NIFTY,NIFTY 29 Jun 2023 PE 12000.00,50,Y,2800,1,29-Jun-23,NIFTY,0.05
N,D,58602,NIFTY 29 Jun 2023 CE 22000.00,XX,29-06-2023 14:30,CE,22000, ,NIFTY,NIFTY 29 Jun 2023 CE 22000.00,50,Y,2800,1,29-Jun-23,NIFTY,0.05
N,D,58603,NIFTY 29 Jun 2023 PE 22000.00,XX,29-06-2023 14:30,PE,22000, ,NIFTY,NIFTY 29 Jun 2023 PE 22000.00,50,Y,2800,1,29-Jun-23,NIFTY,0.05
N,D,58604,NIFTY 28 Dec 2023 CE 12000.00,XX,28-12-2023 14:30,CE,12000, ,NIFTY,NIFTY 28 Dec 2023 CE 12000.00,50,Y,2800,1,28-Dec-23,NIFTY,0.05
N,D,58605,NIFTY 28 Dec 2023 PE 12000.00,XX,28-12-2023 14:30,PE,12000, ,NIFTY,NIFTY 28 Dec 2023 PE 12000.00,50,Y,2800,1,28-Dec-23,NIFTY,0.05
N,D,58606,NIFTY 28 Dec 2023 CE 22000.00,XX,28-12-2023 14:30,CE,22000, ,NIFTY,NIFTY 28 Dec 2023 CE 22000.00,50,Y,2800,1,28-Dec-23,NIFTY,0.05
N,D,58607,NIFTY 28 Dec 2023 PE 22000.00,XX,28-12-2023 14:30,PE,22000, ,NIFTY,NIFTY 28 Dec 2023 PE 22000.00,50,Y,2800,1,28-Dec-23,NIFTY,0.05
N,D,58608,NIFTY 27 Jun 2024 CE 12000.00,XX,27-06-2024 14:30,CE,12000, ,NIFTY,NIFTY 27 Jun 2024 CE 12000.00,50,Y,2800,1,27-Jun-24,NIFTY,0.05
N,D,58609,NIFTY 27 Jun 2024 PE 12000.00,XX,27-06-2024 14:30,PE,12000, ,NIFTY,NIFTY 27 Jun 2024 PE 12000.00,50,Y,2800,1,27-Jun-24,NIFTY,0.05
N,D,58610,NIFTY 27 Jun 2024 CE 22000.00,XX,27-06-2024 14:30,CE,22000, ,NIFTY,NIFTY 27 Jun 2024 CE 22000.00,50,Y,2800,1,27-Jun-24,NIFTY,0.05
N,D,58611,NIFTY 27 Jun 2024 PE 22000.00,XX,27-06-2024 14:30,PE,22000, ,NIFTY,NIFTY 27 Jun 2024 PE 22000.00,50,Y,2800,1,27-Jun-24,NIFTY,0.05
N,D,58612,NIFTY 26 Dec 2024 CE 12000.00,XX,26-12-2024 14:30,CE,12000, ,NIFTY,NIFTY 26 Dec 2024 CE 12000.00,50,Y,2800,1,26-Dec-24,NIFTY,0.05
N,D,58613,NIFTY 26 Dec 2024 PE 12000.00,XX,26-12-2024 14:30,PE,12000, ,NIFTY,NIFTY 26 Dec 2024 PE 12000.00,50,Y,2800,1,26-Dec-24,NIFTY,0.05
N,D,58614,NIFTY 26 Dec 2024 CE 22000.00,XX,26-12-2024 14:30,CE,22000, ,NIFTY,NIFTY 26 Dec 2024 CE 22000.00,50,Y,2800,1,26-Dec-24,NIFTY,0.05
N,D,58615,NIFTY 26 Dec 2024 PE 22000.00,XX,26-12-2024 14:30,PE,22000, ,NIFTY,NIFTY 26 Dec 2024 PE 22000.00,50,Y,2800,1,26-Dec-24,NIFTY,0.05
N,D,58616,NIFTY 26 Jun 2025 CE 12000.00,XX,26-06-2025 14:30,CE,12000, ,NIFTY,NIFTY 26 Jun 2025 CE 12000.00,50,Y,2800,1,26-Jun-25,NIFTY,0.05
N,D,58617,NIFTY 26 Jun 2025 PE 12000.00,XX,26-06-2025 14:30,PE,12000, ,NIFTY,NIFTY 26 Jun 2025 PE 12000.00,50,Y,2800,1,26-Jun-25,NIFTY,0.05
N,D,58618,NIFTY 26 Jun 2025 CE 22000.00,XX,26-06-2025 14:30,CE,22000, ,NIFTY,NIFTY 26 Jun 2025 CE 22000.00,50,Y,2800,1,26-Jun-25,NIFTY,0.05
N,D,58619,NIFTY 26 Jun 2025 PE 22000.00,XX,26-06-2025 14:30,PE,22000, ,NIFTY,NIFTY 26 Jun 2025 PE 22000.00,50,Y,2800,1,26-Jun-25,NIFTY,0.05
N,D,58620,NIFTY 24 Dec 2025 CE 12000.00,XX,24-12-2025 14:30,CE,12000, ,NIFTY,NIFTY 24 Dec 2025 CE 12000.00,50,Y,2800,1,24-Dec-25,NIFTY,0.05
N,D,58621,NIFTY 24 Dec 2025 PE 12000.00,XX,24-12-2025 14:30,PE,12000, ,NIFTY,NIFTY 24 Dec 2025 PE 12000.00,50,Y,2800,1,24-Dec-25,NIFTY,0.05
N,D,58622,NIFTY 24 Dec 2025 CE 22000.00,XX,24-12-2025 14:30,CE,22000, ,NIFTY,NIFTY 24 Dec 2025 CE 22000.00,50,Y,2800,1,24-Dec-25,NIFTY,0.05
N,D,58623,NIFTY 24 Dec 2025 PE 22000.00,XX,24-12-2025 14:30,PE,22000, ,NIFTY,NIFTY 24 Dec 2025 PE 22000.00,50,Y,2800,1,24-Dec-25,NIFTY,0.05
N,D,58624,NIFTY 25 Jun 2026 CE 12000.00,XX,25-06-2026 14:30,CE,12000, ,NIFTY,NIFTY 25 Jun 2026 CE 12000.00,50,Y,2800,1,25-Jun-26,NIFTY,0.05
N,D,58625,NIFTY 25 Jun 2026 PE 12000.00,XX,25-06-2026 14:30,PE,12000, ,NIFTY,NIFTY 25 Jun 2026 PE 12000.00,50,Y,2800,1,25-Jun-26,NIFTY,0.05
N,D,58626,NIFTY 25 Jun 2026 CE 22000.00,XX,25-06-2026 14:30,CE,22000, ,NIFTY,NIFTY 25 Jun 2026 CE 22000.00,50,Y,2800,1,25-Jun-26,NIFTY,0.05
N,D,58627,NIFTY 25 Jun 2026 PE 22000.00,XX,25-06-2026 14:30,PE,22000, ,NIFTY,NIFTY 25 Jun 2026 PE 22000.00,50,Y,2800,1,25-Jun-26,NIFTY,0.05
N,D,58628,NIFTY 31 Dec 2026 CE 12000.00,XX,31-12-2026 14:30,CE,12000, ,NIFTY,NIFTY 31 Dec 2026 CE 12000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58629,NIFTY 31 Dec 2026 PE 12000.00,XX,31-12-2026 14:30,PE,12000, ,NIFTY,NIFTY 31 Dec 2026 PE 12000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58630,NIFTY 31 Dec 2026 CE 13000.00,XX,31-12-2026 14:30,CE,13000, ,NIFTY,NIFTY 31 Dec 2026 CE 13000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58631,NIFTY 31 Dec 2026 PE 13000.00,XX,31-12-2026 14:30,PE,13000, ,NIFTY,NIFTY 31 Dec 2026 PE 13000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58632,NIFTY 31 Dec 2026 CE 14000.00,XX,31-12-2026 14:30,CE,14000, ,NIFTY,NIFTY 31 Dec 2026 CE 14000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58633,NIFTY 31 Dec 2026 PE 14000.00,XX,31-12-2026 14:30,PE,14000, ,NIFTY,NIFTY 31 Dec 2026 PE 14000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58634,NIFTY 31 Dec 2026 CE 15000.00,XX,31-12-2026 14:30,CE,15000, ,NIFTY,NIFTY 31 Dec 2026 CE 15000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58635,NIFTY 31 Dec 2026 PE 15000.00,XX,31-12-2026 14:30,PE,15000, ,NIFTY,NIFTY 31 Dec 2026 PE 15000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58636,NIFTY 31 Dec 2026 CE 16000.00,XX,31-12-2026 14:30,CE,16000, ,NIFTY,NIFTY 31 Dec 2026 CE 16000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58637,NIFTY 31 Dec 2026 PE 16000.00,XX,31-12-2026 14:30,PE,16000, ,NIFTY,NIFTY 31 Dec 2026 PE 16000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58638,NIFTY 31 Dec 2026 CE 17000.00,XX,31-12-2026 14:30,CE,17000, ,NIFTY,NIFTY 31 Dec 2026 CE 17000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58639,NIFTY 31 Dec 2026 PE 17000.00,XX,31-12-2026 14:30,PE,17000, ,NIFTY,NIFTY 31 Dec 2026 PE 17000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58640,NIFTY 31 Dec 2026 CE 18000.00,XX,31-12-2026 14:30,CE,18000, ,NIFTY,NIFTY 31 Dec 2026 CE 18000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58641,NIFTY 31 Dec 2026 PE 18000.00,XX,31-12-2026 14:30,PE,18000, ,NIFTY,NIFTY 31 Dec 2026 PE 18000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58642,NIFTY 31 Dec 2026 CE 19000.00,XX,31-12-2026 14:30,CE,19000, ,NIFTY,NIFTY 31 Dec 2026 CE 19000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58643,NIFTY 31 Dec 2026 PE 19000.00,XX,31-12-2026 14:30,PE,19000, ,NIFTY,NIFTY 31 Dec 2026 PE 19000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58644,NIFTY 31 Dec 2026 CE 20000.00,XX,31-12-2026 14:30,CE,20000, ,NIFTY,NIFTY 31 Dec 2026 CE 20000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58645,NIFTY 31 Dec 2026 PE 20000.00,XX,31-12-2026 14:30,PE,20000, ,NIFTY,NIFTY 31 Dec 2026 PE 20000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58646,NIFTY 31 Dec 2026 CE 21000.00,XX,31-12-2026 14:30,CE,21000, ,NIFTY,NIFTY 31 Dec 2026 CE 21000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58647,NIFTY 31 Dec 2026 PE 21000.00,XX,31-12-2026 14:30,PE,21000, ,NIFTY,NIFTY 31 Dec 2026 PE 21000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58648,NIFTY 31 Dec 2026 CE 22000.00,XX,31-12-2026 14:30,CE,22000, ,NIFTY,NIFTY 31 Dec 2026 CE 22000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,58649,NIFTY 31 Dec 2026 PE 22000.00,XX,31-12-2026 14:30,PE,22000, ,NIFTY,NIFTY 31 Dec 2026 PE 22000.00,50,Y,2800,1,31-Dec-26,NIFTY,0.05
N,D,59224,NIFTY 20 Oct 2022 CE 14950.00,XX,20-10-2022 14:30,CE,14950, ,NIFTY,NIFTY 20 Oct 2022 CE 14950.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59225,NIFTY 20 Oct 2022 PE 14950.00,XX,20-10-2022 14:30,PE,14950, ,NIFTY,NIFTY 20 Oct 2022 PE 14950.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59226,NIFTY 20 Oct 2022 CE 15000.00,XX,20-10-2022 14:30,CE,15000, ,NIFTY,NIFTY 20 Oct 2022 CE 15000.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59227,NIFTY 20 Oct 2022 PE 15000.00,XX,20-10-2022 14:30,PE,15000, ,NIFTY,NIFTY 20 Oct 2022 PE 15000.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59228,NIFTY 20 Oct 2022 CE 15050.00,XX,20-10-2022 14:30,CE,15050, ,NIFTY,NIFTY 20 Oct 2022 CE 15050.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59229,NIFTY 20 Oct 2022 PE 15050.00,XX,20-10-2022 14:30,PE,15050, ,NIFTY,NIFTY 20 Oct 2022 PE 15050.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59230,NIFTY 20 Oct 2022 CE 15100.00,XX,20-10-2022 14:30,CE,15100, ,NIFTY,NIFTY 20 Oct 2022 CE 15100.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59231,NIFTY 20 Oct 2022 PE 15100.00,XX,20-10-2022 14:30,PE,15100, ,NIFTY,NIFTY 20 Oct 2022 PE 15100.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59232,NIFTY 20 Oct 2022 CE 15150.00,XX,20-10-2022 14:30,CE,15150, ,NIFTY,NIFTY 20 Oct 2022 CE 15150.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59233,NIFTY 20 Oct 2022 PE 15150.00,XX,20-10-2022 14:30,PE,15150, ,NIFTY,NIFTY 20 Oct 2022 PE 15150.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,59234,NIFTY 20 Oct 2022 CE 15200.00,XX,20-10-2022 14:30,CE,15200, ,NIFTY,NIFTY 20 Oct 2022 CE 15200.00,50,Y,2800,1,20-Oct-22,NIFTY,0.05
N,D,60906,NIFTY 24 Nov 2022 CE 14500.00,XX,24-11-2022 14:30,CE,14500, ,NIFTY,NIFTY 24 Nov 2022 CE 14500.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60907,NIFTY 24 Nov 2022 PE 14500.00,XX,24-11-2022 14:30,PE,14500, ,NIFTY,NIFTY 24 Nov 2022 PE 14500.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60908,NIFTY 24 Nov 2022 CE 14550.00,XX,24-11-2022 14:30,CE,14550, ,NIFTY,NIFTY 24 Nov 2022 CE 14550.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60909,NIFTY 24 Nov 2022 PE 14550.00,XX,24-11-2022 14:30,PE,14550, ,NIFTY,NIFTY 24 Nov 2022 PE 14550.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60910,NIFTY 24 Nov 2022 CE 14600.00,XX,24-11-2022 14:30,CE,14600, ,NIFTY,NIFTY 24 Nov 2022 CE 14600.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60911,NIFTY 24 Nov 2022 PE 14600.00,XX,24-11-2022 14:30,PE,14600, ,NIFTY,NIFTY 24 Nov 2022 PE 14600.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60912,NIFTY 24 Nov 2022 CE 14650.00,XX,24-11-2022 14:30,CE,14650, ,NIFTY,NIFTY 24 Nov 2022 CE 14650.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60913,NIFTY 24 Nov 2022 PE 14650.00,XX,24-11-2022 14:30,PE,14650, ,NIFTY,NIFTY 24 Nov 2022 PE 14650.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60914,NIFTY 24 Nov 2022 CE 14700.00,XX,24-11-2022 14:30,CE,14700, ,NIFTY,NIFTY 24 Nov 2022 CE 14700.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60915,NIFTY 24 Nov 2022 PE 14700.00,XX,24-11-2022 14:30,PE,14700, ,NIFTY,NIFTY 24 Nov 2022 PE 14700.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60916,NIFTY 24 Nov 2022 CE 14750.00,XX,24-11-2022 14:30,CE,14750, ,NIFTY,NIFTY 24 Nov 2022 CE 14750.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60917,NIFTY 24 Nov 2022 PE 14750.00,XX,24-11-2022 14:30,PE,14750, ,NIFTY,NIFTY 24 Nov 2022 PE 14750.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
N,D,60918,NIFTY 24 Nov 2022 CE 14800.00,XX,24-11-2022 14:30,CE,14800, ,NIFTY,NIFTY 24 Nov 2022 CE 14800.00,50,Y,2800,1,24-Nov-22,NIFTY,0.05
